"","cat","X","Y","slope","heading_rad","elevRange_25","elevation","latRange_10","latRange_25","latRange_50","UAA","SPI"
"5514",5514,377258.79498062,4559267.99807105,1.09832019523884,-1.81706055769608,2.8134765625,2287.19799804688,0.518310546875,4.14599609375,7.466064453125,510248.470287995,246565.882413014
"5515",5515,377340.864338708,4559477.73087506,1.09781606523279,-1.93258250918726,1.978515625,2292.13891601562,0.19775390625,2.68701171875,5.556640625,510234.209577329,220501.468375643
"5516",5516,377322.626703578,4559660.10722636,0.954580519328352,-1.32642351585451,2.36328125,2296.59814453125,0.74755859375,4.411376953125,11.093017578125,504270.907726197,113933.704617051
"5517",5517,377340.864338708,4559915.43411819,0.978668725632746,-1.65372449430989,1.612548828125,2301.61376953125,0.439208984375,1.7802734375,3.618896484375,502062.507710904,139426.079566968
"5518",5518,377377.33960897,4560106.92928707,1.14296303161819,-1.69275626365768,3.313232421875,2305.14965820312,0.81982421875,4.908203125,9.087646484375,497550.450190726,171545.562253673
"5519",5519,377404.696061666,4560344.01854377,1.52771319592272,-1.65666716002041,2.1162109375,2311.77124023438,0.47412109375,2.385498046875,5.612060546875,493811.24473093,187134.602593311
"5520",5520,377331.745521143,4560608.46425316,1.39348455104761,-1.28300275283007,4.67919921875,2320.30615234375,1.025634765625,7.052734375,12.578857421875,490025.526658481,348733.738470888
"5521",5521,377304.389068447,4560818.19705716,1.40490888202771,-1.24219939682889,2.16845703125,2326.16528320312,0.503173828125,2.974365234375,11.900146484375,484261.49403616,266499.387373921
"5522",5522,377222.319710359,4560936.74168551,1.91159795509762,-1.38306480658908,6.712890625,2329.84985351562,1.55517578125,9.748291015625,16.0751953125,483562.277332582,358718.649430894
"5523",5523,377185.844440097,4561283.256753,1.72015074928778,-1.33425211270797,7.09765625,2342.9384765625,1.70361328125,8.7734375,14.692138671875,457054.203038835,384374.219660831
"5524",5524,377076.418629313,4561420.03901648,1.52681727233583,-1.1549955454828,9.217041015625,2347.80908203125,2.673095703125,12.843017578125,21.828125,455213.538275678,331820.896419447
"5525",5525,377094.656264444,4561693.60354344,1.86530730956791,-1.84935324562409,3.95458984375,2355.46875,1.29443359375,4.628173828125,8.25048828125,449895.455899869,336224.524743553
"5526",5526,377213.200892793,4561848.62344205,2.55160412148445,-2.48378126331254,5.55126953125,2364.77197265625,1.63037109375,6.72314453125,18.831787109375,413968.668189873,137096.136121726
"5527",5527,377413.814879231,4562012.76215823,2.69391458813535,-2.26655866273034,9.598876953125,2381.34399414062,4.78857421875,10.90966796875,27.317138671875,412359.691408636,683380.166824856
"5528",5528,377477.646602189,4562158.66323927,1.60627154526616,-2.18740564374564,5.804443359375,2386.0478515625,2.686279296875,6.844970703125,17.2763671875,411217.538677829,293740.962695686
"5529",5529,377614.428865669,4562350.15840814,2.16276498551846,-1.87264759110368,4.117431640625,2394.91235351562,1.031494140625,5.8369140625,14.17529296875,409311.917731323,604277.307346115
"5530",5530,377805.924034541,4562651.0793878,2.5817464337917,-2.42782531428835,6.193603515625,2411.5693359375,2.131103515625,8.48974609375,25.25830078125,405887.133809655,332588.485690961
"5531",5531,377906.23102776,4562696.67347563,2.11811140817819,-2.86303573475829,11.988525390625,2416.9833984375,2.399169921875,17.867919921875,31.39453125,404909.029805456,688609.072984793
"5532",5532,378170.676737156,4562760.50519858,2.12460256556267,-2.86303573476311,11.568359375,2426.69677734375,2.5361328125,15.959716796875,27.071533203125,400936.782347313,967062.744773584
"5533",5533,378380.409541159,4562842.57455667,2.31433220197818,-2.64987809921905,5.451171875,2437.74633789062,2.08251953125,4.47802734375,18.547119140625,399242.650993754,549851.665528747
"5534",5534,378590.142345162,4562952.00036746,1.40283683029639,-2.72641301916047,5.822509765625,2446.08203125,1.537841796875,10.023681640625,23.1513671875,395698.437709684,510130.485651849
"5535",5535,378781.637514034,4563034.06972555,1.61814156889479,-2.57844180671617,5.173583984375,2451.82299804688,2.294677734375,4.498046875,17.897705078125,394274.557243504,455597.070699478
"5536",5536,378964.013865342,4563170.85198903,1.49176367813177,-2.72808190889848,6.2607421875,2459.64184570312,1.1572265625,10.34814453125,25.100341796875,390250.122077743,463624.928208601
"5537",5537,379255.816027433,4563344.10952277,2.14513888429206,-2.48748281986236,4.404052734375,2472.03686523438,1.712646484375,5.383056640625,14.25,387177.077508856,300919.075755545
"5538",5538,379356.123020652,4563389.70361059,2.26845692834591,-2.55365568291058,9.3837890625,2476.54736328125,4.815185546875,11.677734375,22.853515625,379534.283989522,280135.323963238
"5539",5539,379593.212277351,4563599.4364146,2.95540942988966,-2.56603064759012,9.0712890625,2492.57958984375,3.24462890625,7.92626953125,22.8876953125,376774.635710747,730465.372345645
"5540",5540,379757.350993528,4563635.91168486,2.8515076047658,-2.94651294220798,11.9873046875,2499.4619140625,3.252197265625,16.092041015625,24.869873046875,373703.740420055,765810.173292766
"5541",5541,380076.509608315,4563672.38695512,3.05990643285967,-2.97474617589307,13.349853515625,2520.64306640625,3.384521484375,18.202392578125,33.597412109375,370665.729388867,778732.270993414
"5542",5542,380268.004777187,4563809.1692186,2.65908088773938,-2.46615566638776,8.803955078125,2532.89794921875,5.2197265625,10.0791015625,18.232177734375,368829.247730984,391185.682490639
"5543",5543,380459.49994606,4563863.88212399,2.41222674645901,3.08386768513904,5.78271484375,2542.48901367188,2.06689453125,8.525390625,19.610107421875,364812.044064669,399902.496871566
"5544",5544,380650.995114932,4563882.11975912,1.94378164010257,-2.64987809921905,6.594482421875,2551.81372070312,2.579345703125,5.79345703125,18.62451171875,363150.958857138,382100.053728573
"5545",5545,380806.015013543,4564009.78320504,2.42167982552854,-2.5837403153327,3.982177734375,2558.69165039062,0.7568359375,1.7900390625,13.084228515625,356608.001178015,122206.412346222
"5546",5546,380979.272547285,4564046.2584753,2.54008367988357,-2.90820177029695,5.357666015625,2569.5771484375,1.14453125,4.806396484375,15.150634765625,354134.077331071,283891.365316459
"5547",5547,381216.361803984,4564146.56546852,1.51511420131488,-2.60797338112214,4.738525390625,2581.43237304688,1.957763671875,4.070556640625,14.363037109375,353820.606936805,293411.89990559
"5548",5548,381407.856972857,4564301.58536713,1.70895377553891,-1.954048904295,6.663818359375,2589.67602539062,2.36328125,9.89404296875,18.8271484375,349868.209526794,414658.497999014
"5549",5549,381480.80751338,4564511.31817113,1.76605695878732,-2.35397729423997,4.57958984375,2596.63793945312,1.603515625,5.67529296875,16.07421875,346928.662331434,223231.775139162
"5550",5550,381672.302682252,4564620.74398192,1.58426684485502,-2.61030470541079,13.837646484375,2604.2275390625,7.529296875,13.61181640625,30.00927734375,338980.034810668,298705.122055968
"5551",5551,381854.679033559,4564757.5262454,1.3744437539926,-2.86041590858223,3.779052734375,2611.34814453125,1.18994140625,4.84716796875,8.267578125,337656.732757228,330673.920582116
